Country Code,Country name,SI.POV.GAPS,SH.STA.MMRT.NE,SP.POP.GROW,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS,EN.POP.DNST,NY.GDP.MKTP.CD,SE.ADT.LITR.ZS,SH.STA.MMRT,AG.LND.TOTL.K2,SP.RUR.TOTL.ZS,NY.GNP.MKTP.CD,IT.CEL.SETS.P2,SH.DYN.MORT,SH.STA.STNT.ZS
HRV,Croatia,,14.0,-0.09013069560127757,9.600000381469727,56.8584,79.27090779127948,59335976948.271034,,,55960.0,42.98,57840696047.24776,113.750286658706,6.1,
CHL,Chile,,18.2,0.9943731444670459,7.099999904632568,88.1506,22.370656194101112,173079355829.04282,,,743530.0,11.840000000000003,154216483778.97296,83.8994101815556,9.1,2.1
CHN,China,,36.6,0.5222718663922753,4.0,45.2036,141.29057365976664,3494055944791.324,,,9327480.0,57.8,3501855944791.324,41.4160788357655,20.4,
SMR,San Marino,,,0.9266525613322305,2.5999999046325684,94.047,516.7833333333333,1687653983.0276484,,,60.0,5.819999999999993,1493335669.3128934,56.4388686425646,2.6,
OED,OECD members,,,0.7431343296068178,5.6372209823096915,78.36134784389525,35.34302927113893,41322016814809.016,,,34294190.0,23.766037558910394,41526930592939.41,94.72250460216566,9.227997839766735,
DJI,Djibouti,,,1.8965956152372658,,76.8562,36.21453839516825,847918929.1079838,,,23180.0,13.099999999999994,935916408.3029017,8.28384674305768,95.5,
GIN,Guinea,14.96,,1.8484814276034403,,33.6942,38.14756226599381,4209331037.159212,,,245720.0,66.03999999999999,3813884981.0808187,21.3364763385412,141.6,
FIN,Finland,,,0.425429832100631,6.800000190734863,83.1662,17.39195632871847,246127357186.45895,,,304090.0,37.0,246232744532.86032,114.924474017334,3.5,
URY,Uruguay,0.09,,0.2844072722393137,9.199999809265137,92.1362,18.991578105359388,23410536954.877453,97.863891345954,,175020.0,7.799999999999997,22892465217.912838,90.0703876567668,12.6,
THA,Thailand,,,0.7700594628282651,1.2000000476837158,32.8366,132.70263853275657,246977009038.81323,,,510890.0,67.02000000000001,237961354254.42352,78.1368245957299,14.2,
SYC,Seychelles,0.07,,0.5105149828434973,,52.257,184.85434782608695,1018952362.6814338,,,460.0,46.14,954955541.4209161,90.9420417769932,13.8,
NPL,Nepal,,,1.922126413581136,,15.7308,197.93399372166027,10277619341.861841,,,143350.0,83.24,10382566351.176853,11.5208065965556,58.4,
LAO,Lao PDR,,,1.5257805217513487,,29.68,25.6992417677643,4222945529.6418076,,,230800.0,70.28,4075373139.14309,24.9251903223278,53.0,
YEM,"Yemen, Rep.",,,3.048317836999095,15.399999618530273,30.0584,41.56863079341629,21656550140.159687,,,527970.0,69.94,20305974618.97294,19.815929200314,84.1,
PHL,Philippines,,,1.7481989996844096,7.4000000954,48.279,297.3224368648757,149359920006.39975,,,298170.0,35.81999999999999,148460920006.39975,64.6848427995329,29.5,
ZAF,South Africa,,,1.0966788035951172,23.0,60.172,39.73526064867802,286171830700.0418,88.7172506703813,,1214470.0,39.74,276403990424.9105,86.6049708960208,71.1,
KIR,Kiribati,,,1.600441421411666,,43.6534,117.33703703703704,127854317.32057533,,,810.0,56.24,186009784.875891,0.789116505160822,53.3,
LAC,Latin America & Caribbean (developing only),,,1.1892863021084992,7.201818072538896,77.9015167735223,27.985484368887008,3722864251343.681,,,20115970.0,21.767164408176562,3633906554716.3936,67.06744987671955,23.37644683824509,
VIR,Virgin Islands (U.S.),,,0.05009541003111236,,94.6366,313.7657142857143,,,,350.0,5.359999999999999,,,,
SYR,Syrian Arab Republic,,,2.038599456792678,8.399999618530273,54.539,104.79981485515138,40405006007.20865,,,183640.0,46.12,39715797004.20865,32.2684394942369,17.7,
MAC,"Macao SAR, China",,,2.49107954503753,3.0,100.0,18061.035714285714,18061715594.27821,,,28.0,0.0,18025701002.30065,157.071161478241,,
LIE,Liechtenstein,,,0.7714132844228847,,14.6178,220.4125,4602346923.403225,,,160.0,85.62,4121576824.8429933,90.7758180683945,2.5,
NIC,Nicaragua,,77.1,1.2684596603379021,5.0,56.4606,46.23279042712315,5662053825.51427,,,120340.0,43.54,5527453825.51427,44.9754963195051,30.9,23.0
MLT,Malta,,,0.6479816849812734,6.5,94.0554,1278.28125,7513834699.606966,,,320.0,5.959999999999994,7213011341.942733,89.3172211881495,6.4,
KAZ,Kazakhstan,0.05,,1.1438512334943103,7.300000190734863,54.3242,5.7355232062821795,104853480212.15831,,,2699700.0,42.34,91896410444.71645,79.6239464314411,32.8,
TCA,Turks and Caicos Islands,,,5.4167343839763,5.400000095367432,91.0968,36.21473684210526,,,,950.0,8.86,,,,
PYF,French Polynesia,,,1.2420654649898006,11.699999809265137,51.6354,71.40573770491804,,,,3660.0,48.34,,66.9027530658708,,
SUR,Suriname,,180.0,1.0291219629591533,,68.0258,3.2701025641025643,2936612021.8579235,,,156000.0,25.42,2944812021.8579235,74.4899399375853,32.7,
DMA,Dominica,,,-0.3879422077768944,,66.964,91.24533333333333,424135813.3333333,,,750.0,26.42,404520946.6666666,130.05231317766,12.9,
KSV,Kosovo,,,0.8032618329279158,46.29999923706055,,159.21778267658675,4677361256.464571,,,10887.0,,4977530459.712686,,,
BEN,Benin,,,3.014014192009443,,42.305,73.33730790092207,5546177809.029205,,,110620.0,59.2,5427557081.960577,25.2913101675634,117.2,
UMC,Upper middle income,,,0.7110146966783191,5.457175952265997,57.00446054944805,40.64006162756599,10998189646235.156,93.5882733,,59573990.0,44.594043709751666,10850764121211.664,57.71503446831743,25.446656299042647,
BEL,Belgium,,,0.7343308307659192,7.5,97.3576,350.91479524438574,459617484992.5681,,,30280.0,2.6599999999999966,464224417563.82776,101.891712476935,4.7,
